2000000	7	5	2	3	1
50000	3	5	2	3	2
50000	4	5	2	3	3
50000	5	5	2	3	4
50000	6	5	2	3	5
50000	7	5	2	3	6
100000	2	5	2	3	7
100000	3	5	2	3	8
100000	4	5	2	3	9
100000	5	5	2	3	10
100000	6	5	2	3	11
100000	7	5	2	3	12
200000	3	5	2	3	13
200000	4	5	2	3	14
200000	5	5	2	3	15
500000	3	5	2	3	16
500000	4	5	2	3	17
500000	5	5	2	3	18
1000000	6	5	2	3	19
1000000	4	5	2	3	20
50000	2	5	2	3	1
50000	3	5	2	3	2
50000	4	5	2	3	3
50000	5	5	2	3	4
50000	6	5	2	3	5
50000	7	5	2	3	6
100000	2	5	2	3	7
100000	3	5	2	3	8
100000	4	5	2	3	9
100000	5	5	2	3	10
100000	6	5	2	3	11
100000	7	5	2	3	12
200000	3	5	2	3	13
200000	4	5	2	3	14
200000	5	5	2	3	15
500000	3	5	2	3	16
500000	4	5	2	3	17
500000	5	5	2	3	18
1000000	7	5	2	3	19
1000000	4	5	2	3	20
50000	2	5	2	3	1
50000	3	5	2	3	2
50000	4	5	2	3	3
50000	5	5	2	3	4
50000	6	5	2	3	5
50000	7	5	2	3	6
100000	2	5	2	3	7
100000	3	5	2	3	8
100000	4	5	2	3	9
100000	5	5	2	3	10
100000	6	5	2	3	11
100000	7	5	2	3	12
200000	3	5	2	3	13
200000	4	5	2	3	14
200000	5	5	2	3	15
500000	3	5	2	3	16
500000	4	5	2	3	17
500000	5	5	2	3	18
1000000	3	5	2	3	19
1000000	6	5	2	3	20
50000	2	5	2	3	1
50000	3	5	2	3	2
50000	4	5	2	3	3
50000	5	5	2	3	4
50000	6	5	2	3	5
50000	7	5	2	3	6
100000	2	5	2	3	7
100000	3	5	2	3	8
100000	4	5	2	3	9
100000	5	5	2	3	10
100000	6	5	2	3	11
100000	7	5	2	3	12
200000	3	5	2	3	13
200000	4	5	2	3	14
200000	5	5	2	3	15
500000	3	5	2	3	16
500000	4	5	2	3	17
500000	5	5	2	3	18
1000000	3	5	2	3	19
1000000	4	5	2	3	20
50000	2	5	2	3	1
50000	3	5	2	3	2
50000	4	5	2	3	3
50000	5	5	2	3	4
50000	6	5	2	3	5
50000	7	5	2	3	6
100000	2	5	2	3	7
100000	3	5	2	3	8
100000	4	5	2	3	9
100000	5	5	2	3	10
100000	6	5	2	3	11
100000	7	5	2	3	12
200000	3	5	2	3	13
200000	4	5	2	3	14
200000	5	5	2	3	15
500000	3	5	2	3	16
500000	4	5	2	3	17
500000	5	5	2	3	18
1000000	3	5	2	3	19
1000000	4	5	2	3	20
